countyFIPS,County Name,State,County_State,Deaths as of October 19 2020,countyFIPS
1,New York City Unallocated/Probable,NY,"New York City Unallocated/Probable, NY",22,1
1001,Autauga County,AL,"Autauga County, AL",28,1001
1003,Baldwin County,AL,"Baldwin County, AL",67,1003
1005,Barbour County,AL,"Barbour County, AL",9,1005
1007,Bibb County,AL,"Bibb County, AL",13,1007
1009,Blount County,AL,"Blount County, AL",23,1009
1011,Bullock County,AL,"Bullock County, AL",17,1011
1013,Butler County,AL,"Butler County, AL",40,1013
1015,Calhoun County,AL,"Calhoun County, AL",59,1015
1017,Chambers County,AL,"Chambers County, AL",43,1017
1019,Cherokee County,AL,"Cherokee County, AL",14,1019
1021,Chilton County,AL,"Chilton County, AL",31,1021
1023,Choctaw County,AL,"Choctaw County, AL",12,1023
1025,Clarke County,AL,"Clarke County, AL",16,1025
1027,Clay County,AL,"Clay County, AL",12,1027
1029,Cleburne County,AL,"Cleburne County, AL",7,1029
1031,Coffee County,AL,"Coffee County, AL",9,1031
1033,Colbert County,AL,"Colbert County, AL",27,1033
1035,Conecuh County,AL,"Conecuh County, AL",13,1035
1037,Coosa County,AL,"Coosa County, AL",3,1037
1039,Covington County,AL,"Covington County, AL",29,1039
1041,Crenshaw County,AL,"Crenshaw County, AL",30,1041
1043,Cullman County,AL,"Cullman County, AL",23,1043
1045,Dale County,AL,"Dale County, AL",51,1045
1047,Dallas County,AL,"Dallas County, AL",27,1047
1049,DeKalb County,AL,"DeKalb County, AL",27,1049
1051,Elmore County,AL,"Elmore County, AL",52,1051
1053,Escambia County,AL,"Escambia County, AL",28,1053
1055,Etowah County,AL,"Etowah County, AL",49,1055
1057,Fayette County,AL,"Fayette County, AL",12,1057
1059,Franklin County,AL,"Franklin County, AL",31,1059
1061,Geneva County,AL,"Geneva County, AL",7,1061
1063,Greene County,AL,"Greene County, AL",16,1063
1065,Hale County,AL,"Hale County, AL",29,1065
1067,Henry County,AL,"Henry County, AL",6,1067
1069,Houston County,AL,"Houston County, AL",32,1069
1071,Jackson County,AL,"Jackson County, AL",14,1071
1073,Jefferson County,AL,"Jefferson County, AL",372,1073
1075,Lamar County,AL,"Lamar County, AL",5,1075
1077,Lauderdale County,AL,"Lauderdale County, AL",40,1077
1079,Lawrence County,AL,"Lawrence County, AL",30,1079
1081,Lee County,AL,"Lee County, AL",66,1081
1083,Limestone County,AL,"Limestone County, AL",27,1083
1085,Lowndes County,AL,"Lowndes County, AL",27,1085
1087,Macon County,AL,"Macon County, AL",19,1087
1089,Madison County,AL,"Madison County, AL",92,1089
1091,Marengo County,AL,"Marengo County, AL",21,1091
1093,Marion County,AL,"Marion County, AL",29,1093
1095,Marshall County,AL,"Marshall County, AL",48,1095
1097,Mobile County,AL,"Mobile County, AL",314,1097
1099,Monroe County,AL,"Monroe County, AL",9,1099
1101,Montgomery County,AL,"Montgomery County, AL",196,1101
1103,Morgan County,AL,"Morgan County, AL",32,1103
1105,Perry County,AL,"Perry County, AL",6,1105
1107,Pickens County,AL,"Pickens County, AL",17,1107
1109,Pike County,AL,"Pike County, AL",12,1109
1111,Randolph County,AL,"Randolph County, AL",14,1111
1113,Russell County,AL,"Russell County, AL",3,1113
1115,St. Clair County,AL,"St. Clair County, AL",42,1115
1117,Shelby County,AL,"Shelby County, AL",60,1117
1119,Sumter County,AL,"Sumter County, AL",21,1119
1121,Talladega County,AL,"Talladega County, AL",34,1121
1123,Tallapoosa County,AL,"Tallapoosa County, AL",86,1123
1125,Tuscaloosa County,AL,"Tuscaloosa County, AL",132,1125
1127,Walker County,AL,"Walker County, AL",92,1127
1129,Washington County,AL,"Washington County, AL",12,1129
1131,Wilcox County,AL,"Wilcox County, AL",12,1131
1133,Winston County,AL,"Winston County, AL",13,1133
2013,Aleutians East Borough,AK,"Aleutians East Borough, AK",0,2013
2016,Aleutians West Census Area,AK,"Aleutians West Census Area, AK",0,2016
2020,Municipality of Anchorage,AK,"Municipality of Anchorage, AK",41,2020
2050,Bethel Census Area,AK,"Bethel Census Area, AK",0,2050
2060,Bristol Bay Borough,AK,"Bristol Bay Borough, AK",0,2060
2068,Denali Borough,AK,"Denali Borough, AK",0,2068
2070,Dillingham Census Area,AK,"Dillingham Census Area, AK",0,2070
2090,Fairbanks North Star Borough,AK,"Fairbanks North Star Borough, AK",13,2090
2100,Haines Borough,AK,"Haines Borough, AK",0,2100
2105,Hoonah-Angoon Census Area,AK,"Hoonah-Angoon Census Area, AK",0,2105
2110,City and Borough of Juneau,AK,"City and Borough of Juneau, AK",3,2110
2122,Kenai Peninsula Borough,AK,"Kenai Peninsula Borough, AK",3,2122
2130,Ketchikan Gateway Borough,AK,"Ketchikan Gateway Borough, AK",0,2130
2150,Kodiak Island Borough,AK,"Kodiak Island Borough, AK",0,2150
2164,Lake and Peninsula Borough,AK,"Lake and Peninsula Borough, AK",0,2164
2170,Matanuska-Susitna Borough,AK,"Matanuska-Susitna Borough, AK",3,2170
2180,Nome Census Area,AK,"Nome Census Area, AK",0,2180
2185,North Slope Borough,AK,"North Slope Borough, AK",0,2185
2188,Northwest Arctic Borough,AK,"Northwest Arctic Borough, AK",0,2188
2195,Petersburg Census Area,AK,"Petersburg Census Area, AK",1,2195
2220,Sitka City and Borough,AK,"Sitka City and Borough, AK",0,2220
2230,Skagway Municipality,AK,"Skagway Municipality, AK",0,2230
2240,Southeast Fairbanks Census Area,AK,"Southeast Fairbanks Census Area, AK",0,2240
2261,Valdez-Cordova Census Area,AK,"Valdez-Cordova Census Area, AK",1,2261
2270,Wade Hampton Census Area,AK,"Wade Hampton Census Area, AK",0,2270
2282,Yakutat City and Borough,AK,"Yakutat City and Borough, AK",0,2282
2290,Yukon-Koyukuk Census Area,AK,"Yukon-Koyukuk Census Area, AK",2,2290
4001,Apache County,AZ,"Apache County, AZ",168,4001
4003,Cochise County,AZ,"Cochise County, AZ",73,4003
4005,Coconino County,AZ,"Coconino County, AZ",147,4005
4007,Gila County,AZ,"Gila County, AZ",65,4007
4009,Graham County,AZ,"Graham County, AZ",27,4009
4011,Greenlee County,AZ,"Greenlee County, AZ",2,4011
4012,La Paz County,AZ,"La Paz County, AZ",16,4012
4013,Maricopa County,AZ,"Maricopa County, AZ",3512,4013
4015,Mohave County,AZ,"Mohave County, AZ",229,4015
4017,Navajo County,AZ,"Navajo County, AZ",236,4017
4019,Pima County,AZ,"Pima County, AZ",634,4019
4021,Pinal County,AZ,"Pinal County, AZ",216,4021
4023,Santa Cruz County,AZ,"Santa Cruz County, AZ",65,4023
4025,Yavapai County,AZ,"Yavapai County, AZ",87,4025
4027,Yuma County,AZ,"Yuma County, AZ",353,4027
5001,Arkansas County,AR,"Arkansas County, AR",11,5001
5003,Ashley County,AR,"Ashley County, AR",12,5003
5005,Baxter County,AR,"Baxter County, AR",7,5005
5007,Benton County,AR,"Benton County, AR",110,5007
5009,Boone County,AR,"Boone County, AR",29,5009
5011,Bradley County,AR,"Bradley County, AR",8,5011
5013,Calhoun County,AR,"Calhoun County, AR",0,5013
5015,Carroll County,AR,"Carroll County, AR",12,5015
5017,Chicot County,AR,"Chicot County, AR",22,5017
5019,Clark County,AR,"Clark County, AR",4,5019
5021,Clay County,AR,"Clay County, AR",11,5021
5023,Cleburne County,AR,"Cleburne County, AR",14,5023
5025,Cleveland County,AR,"Cleveland County, AR",12,5025
5027,Columbia County,AR,"Columbia County, AR",19,5027
5029,Conway County,AR,"Conway County, AR",3,5029
5031,Craighead County,AR,"Craighead County, AR",36,5031
5033,Crawford County,AR,"Crawford County, AR",25,5033
5035,Crittenden County,AR,"Crittenden County, AR",51,5035
5037,Cross County,AR,"Cross County, AR",21,5037
5039,Dallas County,AR,"Dallas County, AR",5,5039
5041,Desha County,AR,"Desha County, AR",7,5041
5043,Drew County,AR,"Drew County, AR",7,5043
5045,Faulkner County,AR,"Faulkner County, AR",29,5045
5047,Franklin County,AR,"Franklin County, AR",2,5047
5049,Fulton County,AR,"Fulton County, AR",9,5049
5051,Garland County,AR,"Garland County, AR",62,5051
5053,Grant County,AR,"Grant County, AR",4,5053
5055,Greene County,AR,"Greene County, AR",16,5055
5057,Hempstead County,AR,"Hempstead County, AR",5,5057
5059,Hot Spring County,AR,"Hot Spring County, AR",32,5059
5061,Howard County,AR,"Howard County, AR",13,5061
5063,Independence County,AR,"Independence County, AR",39,5063
5065,Izard County,AR,"Izard County, AR",1,5065
5067,Jackson County,AR,"Jackson County, AR",5,5067
5069,Jefferson County,AR,"Jefferson County, AR",100,5069
5071,Johnson County,AR,"Johnson County, AR",7,5071
5073,Lafayette County,AR,"Lafayette County, AR",3,5073
5075,Lawrence County,AR,"Lawrence County, AR",14,5075
5077,Lee County,AR,"Lee County, AR",18,5077
5079,Lincoln County,AR,"Lincoln County, AR",17,5079
5081,Little River County,AR,"Little River County, AR",35,5081
5083,Logan County,AR,"Logan County, AR",2,5083
5085,Lonoke County,AR,"Lonoke County, AR",23,5085
5087,Madison County,AR,"Madison County, AR",5,5087
5089,Marion County,AR,"Marion County, AR",2,5089
5091,Miller County,AR,"Miller County, AR",15,5091
5093,Mississippi County,AR,"Mississippi County, AR",63,5093
5095,Monroe County,AR,"Monroe County, AR",0,5095
5097,Montgomery County,AR,"Montgomery County, AR",8,5097
5099,Nevada County,AR,"Nevada County, AR",14,5099
5101,Newton County,AR,"Newton County, AR",19,5101
5103,Ouachita County,AR,"Ouachita County, AR",7,5103
5105,Perry County,AR,"Perry County, AR",0,5105
5107,Phillips County,AR,"Phillips County, AR",15,5107
5109,Pike County,AR,"Pike County, AR",1,5109
5111,Poinsett County,AR,"Poinsett County, AR",17,5111
5113,Polk County,AR,"Polk County, AR",4,5113
5115,Pope County,AR,"Pope County, AR",36,5115
5117,Prairie County,AR,"Prairie County, AR",4,5117
5119,Pulaski County,AR,"Pulaski County, AR",193,5119
5121,Randolph County,AR,"Randolph County, AR",23,5121
5123,St. Francis County,AR,"St. Francis County, AR",10,5123
5125,Saline County,AR,"Saline County, AR",28,5125
5127,Scott County,AR,"Scott County, AR",1,5127
5129,Searcy County,AR,"Searcy County, AR",1,5129
5131,Sebastian County,AR,"Sebastian County, AR",88,5131
5133,Sevier County,AR,"Sevier County, AR",16,5133
5135,Sharp County,AR,"Sharp County, AR",9,5135
5137,Stone County,AR,"Stone County, AR",21,5137
5139,Union County,AR,"Union County, AR",47,5139
5141,Van Buren County,AR,"Van Buren County, AR",3,5141
5143,Washington County,AR,"Washington County, AR",140,5143
5145,White County,AR,"White County, AR",32,5145
5147,Woodruff County,AR,"Woodruff County, AR",0,5147
5149,Yell County,AR,"Yell County, AR",30,5149
6000,Grand Princess Cruise Ship,CA,"Grand Princess Cruise Ship, CA",0,6000
6001,Alameda County,CA,"Alameda County, CA",433,6001
6003,Alpine County,CA,"Alpine County, CA",0,6003
6005,Amador County,CA,"Amador County, CA",16,6005
6007,Butte County,CA,"Butte County, CA",51,6007
6009,Calaveras County,CA,"Calaveras County, CA",17,6009
6011,Colusa County,CA,"Colusa County, CA",6,6011
6013,Contra Costa County,CA,"Contra Costa County, CA",236,6013
6015,Del Norte County,CA,"Del Norte County, CA",1,6015
6017,El Dorado County,CA,"El Dorado County, CA",4,6017
6019,Fresno County,CA,"Fresno County, CA",429,6019
6021,Glenn County,CA,"Glenn County, CA",3,6021
6023,Humboldt County,CA,"Humboldt County, CA",9,6023
6025,Imperial County,CA,"Imperial County, CA",335,6025
6027,Inyo County,CA,"Inyo County, CA",15,6027
6029,Kern County,CA,"Kern County, CA",410,6029
6031,Kings County,CA,"Kings County, CA",104,6031
6033,Lake County,CA,"Lake County, CA",15,6033
6035,Lassen County,CA,"Lassen County, CA",1,6035
6037,Los Angeles County,CA,"Los Angeles County, CA",6877,6037
6039,Madera County,CA,"Madera County, CA",73,6039
6041,Marin County,CA,"Marin County, CA",127,6041
6043,Mariposa County,CA,"Mariposa County, CA",2,6043
6045,Mendocino County,CA,"Mendocino County, CA",21,6045
6047,Merced County,CA,"Merced County, CA",152,6047
6049,Modoc County,CA,"Modoc County, CA",0,6049
6051,Mono County,CA,"Mono County, CA",2,6051
6053,Monterey County,CA,"Monterey County, CA",83,6053
6055,Napa County,CA,"Napa County, CA",14,6055
6057,Nevada County,CA,"Nevada County, CA",8,6057
6059,Orange County,CA,"Orange County, CA",1410,6059
6061,Placer County,CA,"Placer County, CA",52,6061
6063,Plumas County,CA,"Plumas County, CA",0,6063
6065,Riverside County,CA,"Riverside County, CA",1272,6065
6067,Sacramento County,CA,"Sacramento County, CA",471,6067
6069,San Benito County,CA,"San Benito County, CA",14,6069
6071,San Bernardino County,CA,"San Bernardino County, CA",1021,6071
6073,San Diego County,CA,"San Diego County, CA",853,6073
6075,San Francisco County,CA,"San Francisco County, CA",133,6075
6077,San Joaquin County,CA,"San Joaquin County, CA",484,6077
6079,San Luis Obispo County,CA,"San Luis Obispo County, CA",32,6079
6081,San Mateo County,CA,"San Mateo County, CA",157,6081
6083,Santa Barbara County,CA,"Santa Barbara County, CA",119,6083
6085,Santa Clara County,CA,"Santa Clara County, CA",378,6085
6087,Santa Cruz County,CA,"Santa Cruz County, CA",23,6087
6089,Shasta County,CA,"Shasta County, CA",29,6089
6091,Sierra County,CA,"Sierra County, CA",0,6091
6093,Siskiyou County,CA,"Siskiyou County, CA",0,6093
6095,Solano County,CA,"Solano County, CA",74,6095
6097,Sonoma County,CA,"Sonoma County, CA",129,6097
6099,Stanislaus County,CA,"Stanislaus County, CA",392,6099
6101,Sutter County,CA,"Sutter County, CA",12,6101
6103,Tehama County,CA,"Tehama County, CA",8,6103
6105,Trinity County,CA,"Trinity County, CA",0,6105
6107,Tulare County,CA,"Tulare County, CA",276,6107
6109,Tuolumne County,CA,"Tuolumne County, CA",4,6109
6111,Ventura County,CA,"Ventura County, CA",160,6111
6113,Yolo County,CA,"Yolo County, CA",56,6113
6115,Yuba County,CA,"Yuba County, CA",10,6115
8001,Adams County,CO,"Adams County, CO",248,8001
8003,Alamosa County,CO,"Alamosa County, CO",9,8003
8005,Arapahoe County,CO,"Arapahoe County, CO",377,8005
8007,Archuleta County,CO,"Archuleta County, CO",0,8007
8009,Baca County,CO,"Baca County, CO",0,8009
8011,Bent County,CO,"Bent County, CO",0,8011
8013,Boulder County,CO,"Boulder County, CO",84,8013
8014,Broomfield County,CO,"Broomfield County, CO",40,8014
8015,Chaffee County,CO,"Chaffee County, CO",20,8015
8017,Cheyenne County,CO,"Cheyenne County, CO",0,8017
8019,Clear Creek County,CO,"Clear Creek County, CO",1,8019
8021,Conejos County,CO,"Conejos County, CO",0,8021
8023,Costilla County,CO,"Costilla County, CO",1,8023
8025,Crowley County,CO,"Crowley County, CO",1,8025
8027,Custer County,CO,"Custer County, CO",0,8027
8029,Delta County,CO,"Delta County, CO",4,8029
8031,Denver County,CO,"Denver County, CO",440,8031
8033,Dolores County,CO,"Dolores County, CO",0,8033
8035,Douglas County,CO,"Douglas County, CO",63,8035
8037,Eagle County,CO,"Eagle County, CO",10,8037
